날짜,종가,시가,고가,저가,거래량,수정종가
2023-03-28,157.64999389648438,157.97000122070312,158.49000549316406,155.97999572753906,45992200,157.43223571777344
2023-03-29,160.77000427246094,159.3699951171875,161.0500030517578,159.35000610351562,51305700,160.54794311523438
2023-03-30,162.36000061035156,161.52999877929688,162.47000122070312,161.27000427246094,49501700,162.1357421875
2023-03-31,164.89999389648438,162.44000244140625,165.0,161.91000366210938,68749800,164.67222595214844
2023-04-03,166.1699981689453,164.27000427246094,166.2899932861328,164.22000122070312,56976200,165.9404754638672
2023-04-04,165.6300048828125,166.60000610351562,166.83999633789062,165.11000061035156,46278300,165.40122985839844
2023-04-05,163.75999450683594,164.74000549316406,165.0500030517578,161.8000030517578,51511700,163.53379821777344
2023-04-06,164.66000366210938,162.42999267578125,164.9600067138672,162.0,45390100,164.43255615234375
2023-04-10,162.02999877929688,161.4199981689453,162.02999877929688,160.0800018310547,47716900,161.80618286132812
2023-04-11,160.8000030517578,162.35000610351562,162.36000061035156,160.50999450683594,47644200,160.57789611816406
2023-04-12,160.10000610351562,161.22000122070312,162.05999755859375,159.77999877929688,50133100,159.8788604736328
2023-04-13,165.55999755859375,161.6300048828125,165.8000030517578,161.4199981689453,68445600,165.33131408691406
2023-04-14,165.2100067138672,164.58999633789062,166.32000732421875,163.82000732421875,49386500,164.9818115234375
2023-04-17,165.22999572753906,165.08999633789062,165.38999938964844,164.02999877929688,41516200,165.00177001953125
2023-04-18,166.47000122070312,166.10000610351562,167.41000366210938,165.64999389648438,49923000,166.2400665283203
2023-04-19,167.6300048828125,165.8000030517578,168.16000366210938,165.5399932861328,47720200,167.39846801757812
2023-04-20,166.64999389648438,166.08999633789062,167.8699951171875,165.55999755859375,52456400,166.4197998046875
2023-04-21,165.02000427246094,165.0500030517578,166.4499969482422,164.49000549316406,58337300,164.7920684814453
2023-04-24,165.3300018310547,165.0,165.60000610351562,163.88999938964844,41949600,165.1016387939453
2023-04-25,163.77000427246094,165.19000244140625,166.30999755859375,163.72999572753906,48714100,163.54379272460938
2023-04-26,163.75999450683594,163.05999755859375,165.27999877929688,162.8000030517578,45498800,163.53379821777344
2023-04-27,168.41000366210938,165.19000244140625,168.55999755859375,165.19000244140625,64902300,168.17738342285156
2023-04-28,169.67999267578125,168.49000549316406,169.85000610351562,167.8800048828125,55209200,169.44561767578125
2023-05-01,169.58999633789062,169.27999877929688,170.4499969482422,168.63999938964844,52472900,169.35574340820312
2023-05-02,168.5399932861328,170.08999633789062,170.35000610351562,167.5399932861328,48425700,168.30718994140625
2023-05-03,167.4499969482422,169.5,170.9199981689453,167.16000366210938,65136000,167.2187042236328
2023-05-04,165.7899932861328,164.88999938964844,167.0399932861328,164.30999755859375,81235400,165.5609893798828
2023-05-05,173.57000732421875,170.97999572753906,174.3000030517578,170.75999450683594,113316400,173.33026123046875
2023-05-08,173.5,172.47999572753906,173.85000610351562,172.11000061035156,55962800,173.26034545898438
2023-05-09,171.77000427246094,173.0500030517578,173.5399932861328,171.60000610351562,45326900,171.53274536132812
2023-05-10,173.55999755859375,173.02000427246094,174.02999877929688,171.89999389648438,53724500,173.3202667236328
2023-05-11,173.75,173.85000610351562,174.58999633789062,172.1699981689453,49514700,173.510009765625
2023-05-12,172.57000732421875,173.6199951171875,174.05999755859375,171.0,45497800,172.57000732421875
2023-05-15,172.07000732421875,173.16000366210938,173.2100067138672,171.47000122070312,37266700,172.07000732421875
2023-05-16,172.07000732421875,171.99000549316406,173.13999938964844,171.8000030517578,42110300,172.07000732421875
2023-05-17,172.69000244140625,171.7100067138672,172.92999267578125,170.4199981689453,57951600,172.69000244140625
2023-05-18,175.0500030517578,173.0,175.24000549316406,172.5800018310547,65496700,175.0500030517578
2023-05-19,175.16000366210938,176.38999938964844,176.38999938964844,174.94000244140625,55772400,175.16000366210938
2023-05-22,174.1999969482422,173.97999572753906,174.7100067138672,173.4499969482422,43570900,174.1999969482422
2023-05-23,171.55999755859375,173.1300048828125,173.3800048828125,171.27999877929688,50747300,171.55999755859375
2023-05-24,171.83999633789062,171.08999633789062,172.4199981689453,170.52000427246094,45143500,171.83999633789062
2023-05-25,172.99000549316406,172.41000366210938,173.89999389648438,171.69000244140625,56058300,172.99000549316406
2023-05-26,175.42999267578125,173.32000732421875,175.77000427246094,173.11000061035156,54835000,175.42999267578125
2023-05-30,177.3000030517578,176.9600067138672,178.99000549316406,176.57000732421875,55964400,177.3000030517578
2023-05-31,177.25,177.3300018310547,179.35000610351562,176.75999450683594,99625300,177.25
2023-06-01,180.08999633789062,177.6999969482422,180.1199951171875,176.92999267578125,68901800,180.08999633789062
2023-06-02,180.9499969482422,181.02999877929688,181.77999877929688,179.25999450683594,61945900,180.9499969482422
2023-06-05,179.5800018310547,182.6300048828125,184.9499969482422,178.0399932861328,121946500,179.5800018310547
2023-06-06,179.2100067138672,179.97000122070312,180.1199951171875,177.42999267578125,64848400,179.2100067138672
2023-06-07,177.82000732421875,178.44000244140625,181.2100067138672,177.32000732421875,61944600,177.82000732421875
2023-06-08,180.57000732421875,177.89999389648438,180.83999633789062,177.4600067138672,50214900,180.57000732421875
2023-06-09,180.9600067138672,181.5,182.22999572753906,180.6300048828125,48870700,180.9600067138672
2023-06-12,183.7899932861328,181.27000427246094,183.88999938964844,180.97000122070312,54274900,183.7899932861328
2023-06-13,183.30999755859375,182.8000030517578,184.14999389648438,182.44000244140625,54929100,183.30999755859375
2023-06-14,183.9499969482422,183.3699951171875,184.38999938964844,182.02000427246094,57462900,183.9499969482422
